iter	Passed	Remaining
400	21149	31592
401	21206	31545
402	21258	31492
403	21312	31441
404	21368	31392
405	21426	31347
406	21482	31300
407	21534	31246
408	21584	31189
409	21640	31140
410	21696	31092
411	21748	31038
412	21803	30988
413	21859	30940
414	21914	30890
415	21966	30838
416	22021	30787
417	22077	30739
418	22135	30694
419	22188	30641
420	22238	30584
421	22289	30529
422	22346	30482
423	22401	30432
424	22454	30379
425	22505	30324
426	22559	30272
427	22609	30215
428	22663	30165
429	22717	30113
430	22768	30058
431	22818	30002
432	22873	29952
433	22927	29900
434	22980	29848
435	23035	29798
436	23089	29747
437	23143	29695
438	23194	29640
439	23249	29590
440	23309	29546
441	23368	29500
442	23419	29445
443	23471	29391
444	23522	29337
445	23580	29290
446	23637	29242
447	23691	29191
448	23742	29136
449	23795	29083
450	23849	29032
451	23904	28981
452	23956	28927
453	24008	28874
454	24063	28822
455	24118	28773
456	24169	28717
457	24227	28670
458	24280	28618
459	24333	28565
460	24388	28515
461	24445	28466
462	24500	28415
463	24558	28369
464	24615	28320
465	24679	28280
466	24730	28225
467	24785	28175
468	24835	28118
469	24891	28069
470	24943	28015
471	24999	27965
472	25050	27910
473	25103	27857
474	25160	27808
475	25214	27757
476	25264	27700
477	25324	27655
478	25377	27602
479	25431	27550
480	25482	27495
481	25531	27438
482	25585	27386
483	25637	27332
484	25690	27279
485	25749	27232
486	25799	27176
487	25846	27117
488	25899	27064
489	25955	27014
490	26008	26962
491	26061	26909
492	26114	26855
493	26163	26798
494	26213	26743
495	26273	26697
496	26325	26642
497	26378	26590
498	26429	26535
499	26484	26484
500	26537	26431
501	26591	26379
502	26643	26325
503	26705	26281
504	26758	26229
505	26808	26173
506	26861	26119
507	26911	26064
508	26962	26008
509	27016	25956
510	27067	25902
511	27125	25853
512	27180	25802
513	27229	25746
514	27282	25693
515	27334	25638
516	27386	25585
517	27440	25533
518	27496	25483
519	27551	25432
520	27603	25378
521	27654	25323
522	27711	25274
523	27769	25225
524	27820	25170
525	27873	25118
526	27927	25066
527	27981	25013
528	28041	24967
529	28095	24914
530	28154	24866
531	28208	24815
532	28267	24767
533	28322	24715
534	28375	24662
535	28430	24611
536	28480	24556
537	28540	24509
538	28591	24454
539	28644	24401
540	28700	24350
541	28757	24300
542	28814	24250
543	28871	24200
544	28926	24149
545	28976	24093
546	29035	24045
547	29084	23989
548	29141	23939
549	29191	23883
550	29243	23829
551	29296	23776
552	29349	23723
553	29402	23670
554	29454	23616
555	29503	23560
556	29559	23509
557	29613	23457
558	29666	23404
559	29717	23349
560	29772	23297
561	29827	23246
562	29888	23199
563	29939	23145
564	29993	23092
565	30047	23040
566	30102	22988
567	30153	22933
568	30205	22879
569	30255	22824
570	30310	22773
571	30367	22722
572	30418	22668
573	30468	22612
574	30518	22557
575	30569	22502
576	30621	22448
577	30672	22394
578	30723	22339
579	30774	22284
580	30830	22233
581	30880	22178
582	30935	22127
583	30983	22070
584	31040	22020
585	31089	21964
586	31141	21910
587	31194	21857
588	31248	21804
589	31298	21749
590	31350	21696
591	31404	21643
592	31459	21591
593	31513	21539
594	31567	21487
595	31619	21433
596	31671	21379
597	31724	21326
598	31780	21275
599	31834	21223
600	31891	21172
601	31949	21122
602	32005	21071
603	32058	21018
604	32114	20967
605	32171	20916
606	32229	20866
607	32283	20814
608	32341	20764
609	32394	20711
610	32449	20659
611	32502	20606
612	32560	20556
613	32613	20502
614	32682	20459
615	32734	20406
616	32791	20355
617	32849	20305
618	32906	20254
619	32960	20201
620	33010	20146
621	33065	20094
622	33121	20042
623	33175	19990
624	33230	19938
625	33287	19887
626	33339	19833
627	33392	19780
628	33450	19730
629	33506	19678
630	33560	19625
631	33617	19574
632	33672	19522
633	33729	19471
634	33781	19417
635	33836	19365
636	33893	19314
637	33946	19261
638	33996	19205
639	34050	19153
640	34103	19100
641	34160	19049
642	34216	18997
643	34271	18944
644	34326	18893
645	34377	18838
646	34435	18787
647	34490	18735
648	34542	18681
649	34592	18626
650	34642	18571
651	34702	18522
652	34763	18473
653	34816	18419
654	34867	18365
655	34922	18313
656	34978	18261
657	35032	18208
658	35089	18157
659	35147	18106
660	35201	18053
661	35255	18000
662	35306	17946
663	35362	17894
664	35414	17840
665	35468	17787
666	35522	17734
667	35582	17684
668	35639	17633
669	35697	17582
670	35754	17530
671	35802	17475
672	35859	17423
673	35919	17373
674	35981	17324
675	36033	17270
676	36093	17220
677	36148	17167
678	36203	17115
679	36256	17061
680	36315	17011
681	36368	16957
682	36425	16906
683	36477	16852
684	36535	16801
685	36590	16748
686	36648	16697
687	36704	16645
688	36758	16592
689	36814	16539
690	36875	16489
691	36934	16439
692	36989	16386
693	37040	16332
694	37094	16278
695	37147	16225
696	37199	16171
697	37252	16118
698	37306	16064
699	37357	16010
700	37413	15958
701	37465	15904
702	37519	15851
703	37571	15796
704	37629	15745
705	37684	15693
706	37737	15639
707	37790	15585
708	37843	15532
709	37894	15478
710	37949	15425
711	38002	15371
712	38053	15317
713	38106	15263
714	38162	15211
715	38217	15158
716	38274	15107
717	38328	15053
718	38382	15000
719	38437	14947
720	38491	14894
721	38543	14840
722	38597	14787
723	38653	14735
724	38711	14683
725	38763	14629
726	38820	14577
727	38874	14524
728	38926	14470
729	38978	14416
730	39036	14364
731	39087	14310
732	39139	14256
733	39189	14202
734	39248	14150
735	39302	14097
736	39358	14045
737	39410	13991
738	39466	13938
739	39520	13885
740	39577	13833
741	39627	13778
742	39682	13726
743	39736	13672
744	39793	13620
745	39845	13566
746	39902	13514
747	39956	13461
748	40010	13408
749	40067	13355
750	40124	13303
751	40178	13250
752	40235	13198
753	40289	13144
754	40344	13091
755	40392	13036
756	40449	12984
757	40504	12931
758	40564	12880
759	40621	12827
760	40681	12776
761	40736	12723
762	40790	12670
763	40841	12615
764	40894	12562
765	40945	12508
766	40997	12454
767	41051	12401
768	41108	12348
769	41161	12295
770	41218	12242
771	41272	12189
772	41324	12135
773	41374	12080
774	41431	12028
775	41489	11976
776	41549	11924
777	41599	11870
778	41652	11816
779	41703	11762
780	41758	11709
781	41812	11656
782	41864	11602
783	41922	11550
784	41977	11496
785	42030	11443
786	42084	11390
787	42139	11336
788	42191	11283
789	42247	11230
790	42304	11177
791	42362	11125
792	42416	11072
793	42469	11018
794	42519	10964
795	42574	10911
796	42629	10857
797	42680	10803
798	42733	10750
799	42792	10698
800	42847	10644
801	42899	10591
802	42951	10537
803	43002	10483
804	43055	10429
805	43109	10376
806	43161	10322
807	43213	10268
808	43268	10215
809	43321	10161
810	43375	10108
811	43429	10055
812	43482	10001
813	43543	9949
814	43597	9896
815	43653	9843
816	43707	9790
817	43765	9737
818	43820	9684
819	43873	9630
820	43927	9577
821	43977	9523
822	44033	9470
823	44084	9416
824	44140	9363
825	44194	9309
826	44251	9256
827	44306	9203
828	44363	9150
829	44421	9098
830	44475	9045
831	44527	8991
832	44583	8938
833	44640	8885
834	44698	8832
835	44751	8778
836	44806	8725
837	44858	8671
838	44922	8620
839	44976	8566
840	45038	8515
841	45091	8461
842	45146	8408
843	45198	8354
844	45253	8300
845	45305	8247
846	45362	8194
847	45410	8139
848	45465	8086
849	45520	8033
850	45572	7979
851	45625	7925
852	45679	7872
853	45733	7818
854	45785	7764
855	45839	7711
856	45892	7657
857	45944	7603
858	46001	7550
859	46056	7497
860	46108	7443
861	46158	7389
862	46209	7335
863	46265	7282
864	46319	7228
865	46373	7175
866	46427	7122
867	46480	7068
868	46535	7015
869	46588	6961
870	46646	6908
871	46699	6854
872	46750	6801
873	46804	6747
874	46857	6693
875	46917	6641
876	46969	6587
877	47028	6534
878	47082	6481
879	47139	6428
880	47194	6374
881	47252	6321
882	47303	6267
883	47357	6214
884	47409	6160
885	47464	6107
886	47517	6053
887	47569	5999
888	47622	5946
889	47680	5893
890	47735	5839
891	47788	5786
892	47842	5732
