iter	MultiClass
0	1.011542993
1	0.9506508437
2	0.8971732924
3	0.8432290678
4	0.8001855866
5	0.756809842
6	0.7104242643
7	0.6685218516
8	0.6341789483
9	0.6016638117
10	0.5714779017
11	0.5435439584
12	0.5168586806
13	0.4931276787
14	0.4726984425
15	0.4510870512
16	0.434667716
17	0.4148160558
18	0.396753386
19	0.3777267695
20	0.3620371157
21	0.3484849709
22	0.3340629095
23	0.3194322893
24	0.3064151385
25	0.2948691704
26	0.2853158432
27	0.2748967527
28	0.2637599713
29	0.2564463292
30	0.2479020276
31	0.2400838177
32	0.2331059288
33	0.2253407618
34	0.2185233997
35	0.2135721184
36	0.2081802388
37	0.2016036927
38	0.1956475715
39	0.1886692292
40	0.1827469979
41	0.1775301639
42	0.1731913279
43	0.16922034
44	0.165347699
45	0.1614491312
46	0.1570034535
47	0.1527000337
48	0.1483952027
49	0.1448132864
50	0.1415437419
51	0.1378068776
52	0.1352912602
53	0.1322990318
54	0.1291625524
55	0.1267559347
56	0.1240472417
57	0.1217318267
58	0.1194707458
59	0.1163052467
60	0.1140811408
61	0.1119320338
62	0.1094340516
63	0.1077214083
64	0.104870786
65	0.1028454966
66	0.1013521601
67	0.0996759183
68	0.09754412556
69	0.09645087506
70	0.09505897623
71	0.09385685933
72	0.09227738871
73	0.09057049419
74	0.08933077639
75	0.08775803094
76	0.08590174901
77	0.08461356647
78	0.08288660859
79	0.08145176617
80	0.08054669346
81	0.07890988802
82	0.07722735699
83	0.07629241937
84	0.07499940036
85	0.07373481093
86	0.07233096554
87	0.07126802059
88	0.06992595212
89	0.06906158413
90	0.06774421586
91	0.06675890804
92	0.06596420503
93	0.06506253256
94	0.06422026901
95	0.06348503192
96	0.06279869534
97	0.06160075196
98	0.06074056688
99	0.05992580589
100	0.05940704371
101	0.05872090997
102	0.05782929307
103	0.05709010048
104	0.05646483665
105	0.0557948736
106	0.05489363857
107	0.05413208415
108	0.05349377374
109	0.05286565178
110	0.05204316721
111	0.05142678528
112	0.05080790479
113	0.04994451304
114	0.04934171085
115	0.04902683424
116	0.04847254588
117	0.04776480873
118	0.04712281895
119	0.04653413271
120	0.04595020056
121	0.04551150054
122	0.0447745003
123	0.04417127293
124	0.04373795096
125	0.04330925023
126	0.0429243698
127	0.04234614552
128	0.04199723666
129	0.04157750142
130	0.0412322716
131	0.04073570438
132	0.04033343369
133	0.03984873896
134	0.03948129018
135	0.03892238197
136	0.03853492572
137	0.03819094428
138	0.03788421936
139	0.03751329021
140	0.03722161698
141	0.03688742073
142	0.0366429786
143	0.03627372419
144	0.03596538065
145	0.0355707516
146	0.03521754453
147	0.03499363424
148	0.03474770286
149	0.03434606565
150	0.03409194471
151	0.03380841579
152	0.03354192987
153	0.03318056331
154	0.03292522564
155	0.03253814828
156	0.03226490803
157	0.03195435407
158	0.03179512984
159	0.03143341621
160	0.03121492777
161	0.03096467582
162	0.03078448279
163	0.03059979903
164	0.03040493214
165	0.03018357168
166	0.02999808902
167	0.02978546626
168	0.02950363504
169	0.02922850128
170	0.02896993137
171	0.02873431765
172	0.0285616528
173	0.02836865001
174	0.02815194483
175	0.02802782075
176	0.02780946279
177	0.0276533566
178	0.02744090035
179	0.02725411427
180	0.02702628239
181	0.02681864792
182	0.02665145721
183	0.02644373051
184	0.02627718774
185	0.02602083851
186	0.02580000226
187	0.025639969
188	0.02547932769
189	0.02531713124
190	0.02514439691
191	0.02498268559
192	0.02479026992
193	0.02461868938
194	0.02441581889
195	0.02427137061
196	0.02414300766
197	0.02403026075
198	0.02390524198
199	0.02371664047
200	0.02350474369
201	0.02337016493
202	0.02319836022
203	0.02308485049
204	0.02291668864
205	0.02276003741
206	0.02256373634
207	0.0224314798
208	0.02230560413
209	0.02217704516
210	0.02203945819
211	0.02192164815
212	0.0218184878
213	0.02166129532
214	0.02153033264
215	0.02139507164
216	0.02128174113
217	0.02117802126
218	0.02104713262
219	0.02095414857
220	0.02085043631
221	0.02074443803
222	0.02061412813
223	0.02044980659
224	0.0203568033
225	0.02026916823
226	0.02013832921
227	0.02003065487
228	0.01990899055
229	0.01981430031
230	0.01973495304
231	0.01965782641
232	0.01950856439
233	0.01940450775
234	0.01931509501
235	0.01921771998
236	0.01907172564
237	0.0189570044
238	0.01886317977
239	0.01875794243
240	0.01865014572
241	0.01853335451
242	0.01844130672
243	0.01836737403
244	0.01825554802
245	0.01817217598
246	0.0180677137
247	0.01793756153
248	0.01787178226
249	0.01780344926
250	0.01773555117
251	0.01766868704
252	0.01758012915
253	0.01749522179
254	0.01741114257
255	0.01733690305
256	0.01724821845
257	0.01718590182
258	0.01711301933
259	0.01700420071
260	0.01693901808
261	0.01688125375
262	0.01681257322
263	0.01675040969
264	0.01666078352
265	0.01659748309
266	0.01652396281
267	0.01645229676
268	0.01638318435
269	0.01633087219
270	0.01627095348
271	0.01620853857
272	0.01614611127
273	0.01604915978
274	0.01599735254
275	0.01594353196
276	0.01587354026
277	0.01581018352
278	0.01576374866
279	0.0156878223
280	0.01562021421
281	0.01553650008
282	0.01544623961
283	0.01537608343
284	0.01528177552
285	0.01519477275
286	0.01513916338
287	0.01504776036
288	0.01497522365
289	0.01492131112
290	0.01485479868
291	0.01479794349
292	0.01474555962
293	0.01467596159
294	0.01460191585
295	0.01451682536
296	0.01444363921
297	0.01439731699
298	0.01434075993
299	0.01428032042
300	0.01420939189
301	0.01416512778
302	0.01411864879
303	0.01407964513
304	0.0140012596
305	0.01392531933
306	0.01386929289
307	0.0138089407
308	0.01376703137
309	0.01371386081
310	0.01366688456
311	0.0136021537
312	0.01356723583
313	0.01351122463
314	0.01345542714
315	0.01341348349
316	0.01337459111
317	0.01332980881
318	0.01328602491
319	0.01324569322
320	0.01320260841
321	0.01314780536
322	0.01310511318
323	0.01305017824
324	0.01301219416
325	0.01295755479
326	0.01290342976
327	0.01286241666
328	0.0128202002
329	0.012766864
330	0.01272949975
331	0.01265911889
332	0.01261750578
333	0.01258003713
334	0.01252898198
335	0.01248744404
336	0.01243486364
337	0.01239206573
338	0.0123554725
339	0.01231335898
340	0.01227966355
341	0.01223062277
342	0.01217417253
343	0.01212248504
344	0.01207735449
345	0.0120316941
346	0.01199668518
347	0.01193996579
348	0.01190442208
349	0.01186238754
350	0.01181864861
351	0.01177853066
352	0.01174957827
353	0.01169077299
354	0.01164834001
355	0.01160811077
356	0.01157703208
357	0.01154239104
358	0.01151031872
359	0.01146248734
360	0.01142737662
361	0.01137017677
362	0.01133911117
363	0.01130691161
364	0.01126180954
365	0.01122427293
366	0.01119389173
367	0.01115738554
368	0.01112304756
369	0.01108833354
370	0.01106196987
371	0.01101201089
372	0.01097297033
373	0.01094591053
374	0.01091399987
375	0.0108923455
376	0.01086232052
377	0.01082102162
378	0.01077297072
379	0.0107511337
380	0.01072356648
381	0.01068290364
382	0.01064711551
383	0.01061278086
384	0.01058058602
385	0.01055425621
386	0.01052343886
387	0.01049542088
388	0.01046446607
389	0.01043889672
390	0.01041019269
391	0.01038185871
392	0.01035364408
393	0.01032889883
394	0.01030206661
395	0.0102646933
396	0.01024084473
397	0.01020701145
398	0.0101751208
399	0.01015096713
400	0.01012251038
401	0.0100894862
402	0.01005323486
403	0.01002802861
404	0.009995758422
405	0.009964442366
406	0.009931914165
407	0.009904646513
408	0.009879936505
409	0.009855151805
410	0.009823962095
411	0.009782984344
412	0.009749994165
413	0.009724648011
414	0.009703368392
415	0.009682978607
416	0.009656081627
417	0.009635849682
418	0.009615434099
419	0.009596322693
420	0.009567618925
421	0.009550409154
422	0.009524183296
423	0.00950217428
424	0.009472289131
425	0.009447278937
426	0.009418654947
427	0.009381947808
428	0.009355013586
429	0.009329409518
430	0.009299842968
431	0.009277505066
432	0.009260327027
433	0.009232793222
434	0.00921104524
435	0.009188623951
436	0.009166448474
437	0.009141117691
438	0.009115017052
439	0.009092039271
440	0.009060599314
441	0.009040703494
442	0.009020622367
443	0.008984763056
444	0.008960096707
445	0.008926773468
446	0.008909003976
